-3.6048,-5.1272,7.4825,2.7502e+14
-3.6144,-5.1463,7.4634,2.7502e+14
-3.6144,-5.1463,7.4634,2.7503e+14
-3.6048,-5.1463,7.4442,2.7503e+14
-3.5857,-5.1272,7.4538,2.7503e+14
-3.6431,-5.1272,7.4538,2.7503e+14
-3.6144,-5.1272,7.4538,2.7503e+14
-3.624,-5.1368,7.4538,2.7503e+14
-3.6335,-5.1272,7.4442,2.7503e+14
-3.6144,-5.0985,7.4442,2.7503e+14
-3.6144,-5.175,7.4729,2.7503e+14
-3.624,-5.1655,7.4442,2.7503e+14
-3.6144,-5.1463,7.4346,2.7503e+14
-3.6048,-5.1272,7.4155,2.7503e+14
-3.6335,-5.1463,7.4251,2.7503e+14
-3.6144,-5.1463,7.4251,2.7503e+14
-3.5952,-5.1368,7.4346,2.7503e+14
-3.6048,-5.1463,7.4634,2.7503e+14
-3.624,-5.1655,7.4538,2.7503e+14
-3.5857,-5.1559,7.4538,2.7503e+14
-3.6335,-5.1368,7.4442,2.7503e+14
-3.5665,-5.1655,7.4634,2.7503e+14
-3.5569,-5.2325,7.4921,2.7503e+14
-3.4516,-4.6484,7.1666,2.7503e+14
-3.7484,-4.6676,7.3293,2.7503e+14
-4.9165,-5.0123,7.4634,2.7503e+14
-7.6932,-7.224,7.5495,2.7503e+14
-9.2251,3.1931,3.3272,2.7503e+14
-10.087,3.0208,5.2133,2.7503e+14
-7.4059,3.2314,5.2038,2.7503e+14
-5.5485,1.3835,4.907,2.7503e+14
0.8665,-1.0388,4.1218,2.7503e+14
13.859,4.1314,5.807,2.7503e+14
-0.023936,-0.61756,8.2198,2.7503e+14
11.954,3.375,-0.47394,2.7503e+14
-1.642,2.3697,4.2559,2.7503e+14
-14.3,-15.477,7.1187,2.7503e+14
-1.7186,9.8762,7.9612,2.7503e+14
-0.59841,-7.0229,1.6133,2.7503e+14
-3.1548,-1.9388,9.4836,2.7503e+14
-3.6048,-2.3984,8.7655,2.7503e+14
-2.1974,-1.8144,8.3825,2.7503e+14
-1.441,-0.35905,10.269,2.7503e+14
-4.0835,-2.7623,9.5315,2.7503e+14
-3.691,-2.8772,9.34,2.7503e+14
-1.5367,2.9155,10.106,2.7503e+14
-2.3697,-1.5846,9.6655,2.7503e+14
-1.9676,-0.80905,9.1868,2.7503e+14
-2.2548,-1.5463,9.2251,2.7503e+14
-1.9484,-1.4314,9.3783,2.7503e+14
-2.2261,-1.1346,9.3783,2.7503e+14
-1.9771,-0.80905,9.3879,2.7503e+14
-2.1303,-0.80905,9.474,2.7503e+14
-1.9771,-1.0293,9.34,2.7503e+14
-1.9676,-1.3261,9.2347,2.7503e+14
-1.7952,-1.3835,9.4549,2.7503e+14
-1.9006,-1.0005,9.3687,2.7503e+14
-1.9771,-0.85692,9.4932,2.7503e+14
-1.9197,-1.0293,9.4166,2.7503e+14
-1.8814,-0.9048,9.4357,2.7503e+14
-1.9388,-0.77075,9.4645,2.7503e+14
-1.9101,-0.73245,9.4262,2.7503e+14
-1.9293,-0.65586,9.4645,2.7503e+14
-1.9197,-0.63671,9.474,2.7503e+14
-1.8431,-0.80905,9.4357,2.7503e+14
-1.8527,-0.84735,9.4357,2.7503e+14
-1.8527,-0.8282,9.4357,2.7503e+14
-1.8718,-0.8665,9.4357,2.7503e+14
-1.8814,-0.74203,9.4453,2.7503e+14
-1.8814,-0.8282,9.407,2.7503e+14
-1.8335,-0.83777,9.4549,2.7503e+14
-1.8623,-0.79948,9.4262,2.7503e+14
-1.8527,-0.80905,9.4549,2.7503e+14
-1.8335,-0.77075,9.4357,2.7503e+14
-1.8527,-0.8282,9.4262,2.7503e+14
-1.8431,-0.79948,9.4262,2.7503e+14
-1.8718,-0.73245,9.4645,2.7503e+14
-1.8527,-0.79948,9.4453,2.7503e+14
-1.8623,-0.74203,9.4453,2.7503e+14
